longitude, latitude,name
-110.9172,32.18415,Copper Mine Brewing
-110.96709,32.2266,Corbett Brewing
-110.97856,32.27707,Dillinger Brewing
-111.00583,32.24929,Dragoon Brewing
-110.9585,32.23184,Gentle Ben's Brewing
-110.91435,32.18535,Green Feet Brewing
-110.93935,32.21898,Iron John's Brewing Co
-110.97674,32.28343,Jalopys Grillville & Micro Brewery
-110.91123,32.18529,Nimbus Brewing
-110.96808,32.22131,Pueblo Vida Brewing
-110.95527,32.24986,Sentinel Peak Brewing
-110.91182,32.18519,Ten 55 Brewing
-111.01281,32.34057,Thunder Canyon Brewery
-110.96654,32.22091,Thunder Canyon Brewery
-110.79569,32.25694,Tucson Brewing and Trading Co
-110.70092,32.00053,1912 Brewing
-112.18873,35.2504,Grand Canyon Brewery
-114.61786,32.72249,Prison Hill Brewing Co
-114.61786,32.72249,Yuma Brewing
-94.198234,36.3671,Bentonville Brewing
-94.21088,36.367276,Bike Rack Brewing Co
-92.39826,35.970246,Gravity Brew Works
-93.32945,34.412073,Bubba Brews Sports Pub & Grill
-94.11768,36.131974,Apple Blossom Brewing
-94.16887,36.076788,Columbus House Brewery
-94.15792,36.0632,Dark Hills Brewery
-94.165,36.08812,Fossil Cove Brewing
-94.16459,36.06642,Hog Haus Brewing
-94.16434,36.04885,Tanglewood Branch Beer Co.
-94.16034,36.06162,Tiny Tim's Pizza & West Mountain Brewing
-93.05354,34.51488,Superior Bathhouse Brewery
-92.26681,34.7456,Blue Canoe Brewing Co
-92.26551,34.74744,Boscos Little Rock Brewing
-92.26505,34.74765,Damgoode's River Market Brewpub
-92.26411,34.73973,Flyway Brewing
-92.26011,34.74296,Lost Forty Brewing
-92.26167,34.74227,Rebel Kettle Brewing
-92.31854,34.73102,Refined Ale Brewery
-92.26803,34.73988,Stones Throw Brewing
-92.2813,34.74351,Vino's Brewpub
-94.05664,36.27632,"BensBrew, LLC"
-94.0464,36.24152,Dark Hills Brewery
-92.27226,34.75927,Diamond Bear Brewing
-92.268596,34.756776,Flyway Brewing Company
-93.556797,35.286644,Prestonrose Farm and Brewing Co
-94.134553,36.355428,New Province Brewing
-94.11782,36.31683,Ozark Beer Co
-94.06031,36.13029,Saddlebock Brewery
-94.133478,36.20629,Core Brewing and Distilling
-117.40982,34.55929,Jergensen Brewing
-118.7629,34.14347,Ladyface Alehouse & Brasserie
-118.77862,34.14562,The LAB Brewing Co
-122.30828,37.78723,Faction Brewing
-122.23886,37.76844,Alameda Island Brewing
-118.12798,34.09442,California Brewing
-117.7235,33.57469,Stadium Brewing
-116.76319,32.83545,Alpine Beer Company
-118.1545,34.20618,Dr. Jekyll's
-117.87734,33.806,JT Schmid's Restaurant & Brewery
-117.91251,33.83263,Anaheim Brewery
-117.86005,33.8494,Bottle Logic Brewing
-117.88524,33.79547,Golden Road Brewing
-117.9145,33.83529,Hoparazzi Brewing Co
-117.88298,33.80839,Noble Ale Works
-117.8668,33.85404,Phantom Ales & Cellar
-117.86492,33.84923,Shire Reeve Brewing
-117.90238,33.80931,Unsung Brewing
-122.24302,40.46791,California Brewing Company
-121.78529,37.96776,Schooner's Grille & Brewery
-117.18279,34.49894,Off The Grid Brewery
-117.24347,34.46904,Oggi's Pizza & Brewing
-118.02623,34.14322,Mt. Lowe Brewing
-124.08821,40.85505,Redwood Curtain Brewing
-120.36195,38.24226,Snowshoe Brewing
-120.60598,35.12103,Figueroa Mountain Brewing Co
-120.58656,35.08061,Tanner Jacks
-120.66864,35.48972,Dead Oak Brewing
-120.65775,35.47749,Santa Maria Brewing Company
-120.66764,35.48776,Tent City Brewing
-121.07825,38.89556,Auburn Ale House
-121.06485,38.90143,Big Sexy Brewing
-121.07639,38.90944,Crooked Lane Brewing
-121.0806,38.95208,Knee Deep Brewery
-121.08175,38.95053,Moonraker Brewing Co
-121.06779,38.90163,Power Club Brewery
-118.32562,33.34339,Catalina Island Brew House
-117.90782,34.1324,Congregation Brewpub
-119.07182,35.31598,Dionysus Brewing
-119.07679,35.3166,Lengthwise Brewing
-119.1098,35.27781,Old River Brew Company
-119.04148,35.38863,Temblor Brewing
-118.16525,33.96616,Bike Brewery
-122.26689,37.52083,Alpha Acid Brewing
-122.26628,37.5205,Brew4U Brewing
-122.26699,37.52088,Devil's Canyon Brewing Company
-122.26582,37.52164,Mayfield Brewing
-122.25886,37.86346,Bison Brewing
-122.30198,37.88136,Fieldwork Brewing
-122.29984,37.87948,Gilman Brewing
-122.27219,37.84892,Hoi Polloi Brewpub & Beat Lounge
-122.26788,37.86978,Jupiter Berkeley
-122.30028,37.87959,Pyramid Alehouse
-122.29202,37.85867,The Rare Barrel
-122.26852,37.87338,Triple Rock Brewery
-122.30294,37.87697,Trumer Brauerei Berkeley
-120.60855,39.77863,Under Cover Ale Works
-122.34631,37.58024,Steelhead Brewing Co
-116.92364,34.23895,Big Bear Mountain Brewery
-118.39442,37.36064,Mountain Rambler Brewery
-123.9942,40.87873,Mad River Brewing
-123.35685,39.00001,Anderson Valley Brewing
-123.35685,39.00001,Chau Tien USA
-122.12157,37.12357,Boulder Creek Brewery & Cafe
-117.8891,33.91383,BJ's Restaurant and Brewery
-117.90023,33.91658,Taps Fish House & Brewery
-122.4019,37.6863,Beverly Hills Beerhouse Company
-120.2023,34.61066,Figueroa Mountain Brewing Co
-118.31703,34.17353,Head Brewing
-118.30824,34.18055,Gordon Biersch Brewing
-118.34686,34.20598,Lincoln Beer Co
-118.33386,34.1566,Simmzy's Pub
-118.31039,34.17378,Verdugo West Brewing
-122.3463,37.57995,Steelhead Brewing
-122.57977,38.57688,Napa Valley Brewing
-119.03813,34.20835,Institution Ale Co
-119.04664,34.21796,Brendan's Irish Pub & Rest.
-121.09846,35.56667,927 Beer Co
-120.67198,38.74879,El Dorado Brewing
-120.67993,38.7538,Jack Russell Brewing
-121.94624,37.28689,Campbell Brewing
-118.58855,34.2334,8 One 8 Brewing
-121.94958,36.98324,Sante Adairius Rustic Ales
-117.27297,33.11988,Burgeon Beer Co
-117.28291,33.19028,Culver Beer Co
-117.27489,33.14158,Fezziwig's Brewing
-117.31346,33.12407,Karl Strauss Brewery & Rest
-117.27362,33.13873,On-The-Tracks Brewery
-117.34791,33.16003,Pizza Port Brewing Company
-117.25013,33.12847,Pizza Port Brewing Company
-117.26981,33.13446,Rouleur Brewing
-121.8395,36.4478,Chau Tien USA
-121.33069,38.61539,River City Brewing
-119.52102,34.39591,Island Brewing Company
-119.51799,34.3983,Rincon Brewery
-118.27622,33.86185,Phantom Carriage Brewery
-118.61706,34.49952,Revolutionary Brewing
-120.89134,35.43921,Cayucos Brewing Company
-118.02906,33.87667,Humpback Brewing
-118.59329,34.24644,Great Beer Company
-118.59372,34.24825,Hand-Brewed Beer
-121.84823,39.72462,Butte Creek Brewing
-121.83799,39.72828,Eckert Malting & Brewing
-121.81545,39.72368,Sierra Nevada Brewing Co
-117.69342,33.99586,I and I Brewing
-116.95374,32.65188,Bay Bridge Brewing
-116.955,32.65244,Brew House at East Lake
-116.94931,32.63996,Inland Wharf Brewing
-116.96141,32.65202,Novo Brazil Brewing
-117.70185,34.10897,Claremont Brewing
-123.01033,38.78165,Bear Republic Brewing Co
-123.01665,38.80539,Ruth McGowan's Brewpub
-119.70176,36.82505,559 Local Brewing
-119.72799,36.85364,House of Pendragon Brewing-Tasting Room
-119.66884,36.84522,W Brewing
-120.96461,39.10065,Gold Country Brewing
-117.30631,34.05593,3 Iron Brewing Co
-122.02823,37.95128,Ale Industries
-122.03075,38.01431,Black Diamond Brewing
-122.03904,38.00994,Epidemic Ales
-117.6158,33.8864,Evans Premium Lager Co
-122.02854,37.95161,Sinergi Brewery
-121.01425,38.88628,Cool Beerworks
-117.56524,33.88326,Main Street Brewery
-117.59541,33.90077,Cosmic Brewery
-117.50689,33.8123,Stone Church Brewery
-117.50789,33.81416,Taps Fish House & Brewery
-117.57664,33.9702,Shire Reeve Brewing
-117.60287,33.88314,Skyland Ale Works
-117.17299,32.69778,Coronado Brewing
-117.88829,33.6787,Barley Forge Brewing
-117.87418,33.67412,"Legend Beverage, Inc."
-122.71406,38.33192,Grav South Brew Co
-117.879,34.1046,Alosta Brewing
-117.8766,34.10504,Arrow Lodge Brewing
-117.92321,34.088,Rev Brewing
-124.19867,41.7676,Port O'Pints Brewing
-124.19997,41.74952,Seaquake Brewing
-118.4086,34.01372,Warfighter Brewing
-121.99938,37.82175,BNE Brewing
-121.99989,37.82145,Danville Brewing
-121.72408,38.54699,Sudwerk Privatbrauerei Hubsch
-121.73958,38.54452,Three Mile Brewing
-117.26194,32.97,Viewpoint Brewing
-120.82919,38.6962,Davids Ale Works
-120.83425,38.69438,El Dorado Brewing
-118.13637,33.94484,Downey Brewing
-118.1362,33.94456,Signal Hill Brewing
-122.2718,41.21196,Dunsmuir Brewery Works
-117.15418,34.1137,Ritual Brewing
-122.13667,37.45845,Firehouse Grill & Brewery
-116.96279,32.79551,El Cajon Brewing Company
-116.96278,32.7955,Urbn St. Brewing Co
-122.29473,37.90041,BC Brewing
-122.30294,37.90205,Elevation 66 Brewing
-121.08648,38.71025,Mraz Brewing
-122.46953,37.50232,Hop Dogma Brewing
-118.01242,34.06161,Skyscraper Brewing
-118.41557,33.91769,El Segundo Brewing
-118.40595,33.91664,Rob Rubens Distilling & Brewing
-121.39735,38.42066,BJ's Restaurant and Brewhouse
-121.35868,38.37583,Flatland Brewing
-121.35863,38.37578,Handcraft Brewing
-121.36066,38.38912,Tilted Mash Brewing
-121.35728,38.40062,Waterman Brewing
-122.28574,37.83157,Gordon Biersch Brewing
-118.50126,34.16315,Golden State Brewing Company
-117.07588,33.13899,Devil's Potion Brewing
-117.09153,33.1171,Jacked Up Brewery
-117.11708,33.1086,Offbeat Brewing
-117.08018,33.12193,Plan 9 Alehouse
-117.08031,33.12223,Reformation Ale Works
-117.05602,33.13378,Scooter Brew
-117.12027,33.11565,Stone Brewing
-117.08737,33.11872,Taproot Brewing
-122.8457,41.45588,Etna Brewing
-124.1741,40.77579,Humboldt Springs Brewing
-124.1741,40.80255,Lost Coast Brewery & Cafe
-122.5855,37.98667,Iron Springs Pub & Brewery
-122.08433,38.23772,Anheuser-Busch
-122.05934,38.25813,Blue Frog Grog & Grill
-122.01511,38.27371,Heretic Brewing
-117.25151,33.38273,Fallbrook Brewing
-121.16329,38.68159,Lockdown Brewing Company
-121.17839,38.68357,Sudwerk Riverside
-117.66439,33.68002,ReaperAle
-123.80588,39.44607,North Coast Brewing
-116.71063,35.2629,Reggie's Restaurant & Brewery
-124.15233,40.57886,Eel River Brewing
-117.95481,33.6892,Naked Monkey Brewing
-121.98798,37.54895,510 Brewing
-121.95559,37.50293,"JP DasBrew, Inc"
-121.98797,37.54393,Jack's Brewing
-119.78862,36.73041,Border Hop Brewing
-119.86182,36.78548,Broadway Ale Works
-119.79081,36.72672,Full Circle Brewing
-119.80228,36.75767,Sequoia Brewing #1
-119.76261,36.87113,Sequoia Brewing #2
-119.6765,36.77893,Tactical Ops Brewing
-119.78848,36.73091,Tioga-Sequoia Brewing
-117.93304,33.8678,Bootlegger's Brewery
-117.92589,33.87002,Evan's Brewing Co. Taproom
-122.7743,38.4917,Moonlight Brewing
-121.30035,38.25338,River Rock Brewery
-123.7956,40.10394,Redwood Brewing
-118.29778,33.91093,State Brewing
-118.31143,33.87792,Two Coast Brewing
-121.56594,37.0011,Coast Range Brewing (Farmhouse Brewing)
-118.29287,34.16801,Brewyard
-118.29367,34.16859,Henson Brewing
-122.47317,38.35696,Humes Brewing
-119.85177,34.43951,Captain Fatty's Craft Brewery
-119.8761,34.432227,Draughtsmen Aleworks
-119.87345,34.42805,Hollister Brewing
-119.86862,34.43243,M. Special Brewery
-120.62126,35.12181,Fusion Brewery
-120.60854,35.12963,ManRock Brewing
-122.98762,38.50864,Stumptown Brewery
-122.48543,37.50378,Half Moon Bay Brewing
-119.6457,36.32681,Old Firehouse Brewpub
-118.33346,33.91678,Common Space Brewing
-118.3322,33.91483,Los Angeles Ale Works
-122.08129,37.6739,Buffalo Bill's Brewery
-122.06892,37.68304,Dying Vines
-122.0827,37.6707,Owens Brewing
-122.87075,38.61105,Bear Republic Brewing
-122.86325,38.63915,Healdsburg Beer Co
-118.39529,33.85849,Beachfront Brewing
-118.39953,33.86325,The Brewery at Abigaile
-117.39678,34.41578,Oak Hills Brewing
-121.45038,36.84119,Brewery Twenty Five
